iter	Passed	Remaining
903	4113	436
904	4122	432
905	4131	428
906	4144	424
907	4153	420
908	4176	418
909	4191	414
910	4201	410
911	4214	406
912	4226	402
913	4236	398
914	4247	394
915	4273	391
916	4289	388
917	4308	384
918	4317	380
919	4324	376
920	4341	372
921	4358	368
922	4394	366
923	4409	362
924	4423	358
925	4437	354
926	4455	350
927	4474	347
928	4488	343
929	4501	338
930	4507	334
931	4520	329
932	4536	325
933	4549	321
934	4594	319
935	4636	317
936	4658	313
937	4698	310
938	4711	306
939	4732	302
940	4739	297
941	4754	292
942	4784	289
943	4799	284
944	4807	279
945	4813	274
946	4821	269
947	4827	264
948	4838	260
949	4850	255
950	4868	250
951	4873	245
952	4892	241
953	4914	236
954	4921	231
955	4935	227
956	4955	222
957	4968	217
958	4976	212
959	4986	207
960	4994	202
961	5001	197
962	5030	193
963	5062	189
964	5075	184
965	5082	178
966	5099	174
967	5154	170
968	5173	165
969	5190	160
970	5205	155
971	5214	150
972	5223	144
973	5232	139
974	5244	134
975	5255	129
976	5276	124
977	5296	119
978	5312	113
979	5322	108
980	5328	103
981	5361	98
982	5374	92
983	5389	87
984	5401	82
985	5422	76
986	5437	71
987	5451	66
988	5455	60
989	5464	55
990	5469	49
991	5476	44
992	5486	38
993	5495	33
994	5500	27
995	5508	22
996	5519	16
997	5532	11
998	5545	5
999	5551	0
